daytime;work_type_1;work_condition_1;work_type_2;work_condition_2;work_type_3;work_condition_3
10/05/21:10:00;1;CONTINUOUS;2;CONTINUOUS;3;CONTINUOUS
10/05/21:10:30;1;CONTINUOUS;2;CONTINUOUS;3;CONTINUOUS
